CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
1,0,19,15,39,1,-0.6157200190433795,-1.7634808784656586
2,0,21,15,81,1,-1.6657927134346553,-1.8207469510592627
3,1,20,16,6,0,0.33786190851575587,-1.6747989372314571
4,1,23,16,77,1,-1.456573254923013,-1.7724299195461677
5,1,31,17,40,1,-0.038465207779553166,-1.6627401215058248
6,1,22,17,76,1,-1.4816852601022727,-1.7350017348931832
7,1,35,18,6,0,1.0946166530075196,-1.5661023017675895
8,1,23,18,94,1,-1.926307359348721,-1.7211104867389257
9,0,64,19,3,0,2.645177858255779,-1.4608472054985733
10,1,30,19,72,1,-0.9701305133429771,-1.6355810828111526
11,0,67,19,14,0,2.4956886087059322,-1.470489137130997
12,1,35,19,99,1,-1.4568825612655665,-1.6643604984081888
13,1,58,20,15,0,2.0101872917398262,-1.4532989723700767
14,1,24,20,77,1,-1.4132107232385551,-1.6177674604363892
15,0,37,20,13,0,1.0004296462276019,-1.4957917642959695
16,0,22,20,79,1,-1.5694316990324897,-1.6250266916764626
17,1,35,21,35,0,0.29406031805877014,-1.4942558471798595
18,0,20,21,66,1,-1.31624924409945,-1.5721638283290187
19,0,52,23,29,0,1.3166990992703962,-1.3724340437637665
20,1,35,23,98,1,-1.436798987015112,-1.5103946865623707
21,0,35,24,35,0,0.28856117482299964,-1.3798813514290247
22,0,25,24,73,1,-1.260185130628169,-1.4572390646144584
23,1,46,25,5,0,1.6668430333425404,-1.2739675483089525
24,0,31,25,73,1,-0.9578498423805151,-1.4061354440455223
25,1,54,28,14,0,1.820159784347313,-1.1554863586244728
26,0,29,28,82,1,-1.3114803180305943,-1.3092855687810268
27,1,45,28,32,0,0.87042350619127,-1.201351256807145
28,0,35,28,61,1,-0.43158091217656075,-1.2655106123902353
29,1,40,29,31,0,0.6425326103500694,-1.1725755979221544
30,1,23,29,87,1,-1.7545605279261725,-1.2914719464062636
31,0,60,30,4,0,2.3948196771645307,-1.05159306435821
32,1,21,30,73,1,-1.473962307761651,-1.237142598880782
33,0,53,33,4,0,2.0344574752703637,-0.9523604887013649
34,0,18,33,92,1,-2.152445158392036,-1.1571206968386667
35,1,49,33,14,0,1.5575209322936028,-0.9756778562497399
36,1,21,33,81,1,-1.698787572849278,-1.1344999765542518
37,1,42,34,17,0,1.118577530195504,-0.957094396960899
38,1,30,34,73,1,-1.025041994753312,-1.065175088235015
39,1,36,37,26,0,0.562168163883484,-0.868897047464398
40,1,20,37,75,1,-1.5923198951068982,-0.9753648752602416
41,1,65,38,35,4,1.7837401863539581,-0.781239761331839
42,0,24,38,92,1,-1.857442061125409,-0.9535177486019506
43,0,48,39,36,0,0.8926810880639718,-0.7813546481069069
44,1,31,39,61,1,-0.6545233280363267,-0.8547899870718344
45,1,49,39,28,0,1.1627019325813135,-0.7674596432406036
46,1,24,39,65,1,-1.119049447620651,-0.8757978438779765
47,1,50,40,55,4,0.47133794625152675,-0.766766752688689
48,1,27,40,47,1,-0.4753145532027758,-0.8047869024303498
49,1,29,40,42,1,-0.2368462817143953,-0.7931282186561622
50,1,31,40,42,1,-0.1354568363834249,-0.7888019557721654
51,1,49,42,52,4,0.499224423789974,-0.6882807677626831
52,0,33,42,60,1,-0.531217260709645,-0.7346227442589642
53,1,31,43,54,1,-0.46994516239697987,-0.6920252701577875
54,0,59,43,60,4,0.7850124808477124,-0.640256494850058
55,1,50,43,45,4,0.7399964553305766,-0.6377274151574728
56,0,47,43,41,4,0.6975753482600491,-0.6383508727713157
57,1,51,44,50,4,0.6517793040933946,-0.6047718726887199
58,0,69,44,46,4,1.6739473729980556,-0.5599695700205941
59,1,27,46,51,1,-0.5959759006002452,-0.581903847640832
60,0,53,46,46,4,0.8591657148597792,-0.5183300092586804
61,0,70,46,56,4,1.4468183478582068,-0.4962216165250868
62,0,19,46,55,1,-1.1111967428500544,-0.6050748358889726
63,1,67,47,52,4,1.4025641930424226,-0.4587202422219847
64,1,54,47,59,4,0.5516224417707412,-0.4971063402142323
65,0,63,48,51,4,1.225368019866707,-0.42778145189499583
66,0,18,48,59,1,-1.2752206219319815,-0.5368542402092336
67,1,43,48,50,4,0.23888933178848587,-0.46957759655692793
68,1,68,48,48,4,1.5610889288885788,-0.4125663421508889
69,0,19,48,59,1,-1.2245258992664962,-0.534691108767235
70,1,32,48,47,1,-0.23650532183740472,-0.48897258988479714
71,0,70,49,55,4,1.4687349698539185,-0.3803806365962137
72,1,47,49,42,4,0.6591612965570259,-0.411068365447684
73,1,60,50,49,4,1.1244492868427016,-0.355088214031025
74,1,60,50,56,4,0.9325389302223274,-0.36535360327729177
75,0,59,54,47,4,1.1212539036591533,-0.20181904944916726
76,0,26,54,54,1,-0.7435823009222311,-0.28346777628138486
77,1,45,54,53,4,0.24703319495346893,-0.24090179470537512
78,0,40,54,48,4,0.13063840778345334,-0.24438503102517709
79,1,23,54,52,1,-0.8408349384557227,-0.2870242022513042
80,1,49,54,42,4,0.7513855031617119,-0.2161179429789618
81,0,57,54,51,4,0.9102013974022549,-0.2120112490453167
82,0,38,54,55,1,-0.1626613941678912,-0.25897668315544087
83,0,67,54,41,4,1.691306276371927,-0.17571509284495046
84,1,46,54,44,4,0.5444698047022924,-0.22554030566103359
